model_name,test_year,n_matches,n_skipped,accuracy,log_loss,brier,rps,ece,mean_confidence,draw_log_loss,draw_recall,draw_prediction_rate,confidence_060_070_n,confidence_060_070_log_loss,tuning_source_years,notes
bookmaker_odds_only,2014,63,0,0.5714285714285714,0.952306951042265,0.5654441748357657,0.19820855728400116,0.09162777104302597,0.5360911259490592,1.406683589885848,0.0,0.0,12,0.9910029616038346,none,bookmaker odds-only from Stage 5 benchmark
market_blend_draw_calibrated,2014,63,0,0.5714285714285714,0.952306951042265,0.5654441748357657,0.19820855728400116,0.09162777104302597,0.5360911259490592,1.406683589885848,0.0,0.0,12,0.9910029616038346,none,time-safe blend of bookmaker and draw/confidence calibrated official alpha=0.00
market_blend_tuned,2014,63,0,0.5714285714285714,0.952306951042265,0.5654441748357657,0.19820855728400116,0.09162777104302602,0.5360911259490592,1.406683589885848,0.0,0.0,12,0.9910029616038347,none,time-safe alpha tuned blend alpha=0.00; p=alpha*model+(1-alpha)*market
official_model,2014,63,0,0.5396825396825397,0.9559875364967557,0.5629226125258118,0.1974844003960847,0.1355323890014759,0.517418023691257,1.424824758650187,0.07692307692307693,0.031746031746031744,10,0.9593473754072944,none,official model from Stage 5 benchmark
official_model_confidence_calibrated,2014,63,0,0.5396825396825397,0.9559875364967557,0.5629226125258118,0.1974844003960847,0.1355323890014759,0.517418023691257,1.424824758650187,0.07692307692307693,0.031746031746031744,10,0.9593473754072944,none,time-safe confidence-bucket exponent calibration
official_model_draw_calibrated,2014,63,0,0.5396825396825397,0.9559875364967557,0.5629226125258118,0.1974844003960847,0.1355323890014759,0.517418023691257,1.424824758650187,0.07692307692307693,0.031746031746031744,10,0.9593473754072944,none,time-safe draw multiplier=1.000
official_model_draw_confidence_calibrated,2014,63,0,0.5396825396825397,0.9559875364967557,0.5629226125258118,0.1974844003960847,0.1355323890014759,0.517418023691257,1.424824758650187,0.07692307692307693,0.031746031746031744,10,0.9593473754072944,none,time-safe draw multiplier plus confidence-bucket calibration
bookmaker_odds_only,2018,62,0,0.5645161290322581,0.935958553136967,0.5515248344885412,0.19650959651457536,0.06893799930064505,0.5471059419547896,1.3170698330260673,0.0,0.0,12,0.802333321963793,none,bookmaker odds-only from Stage 5 benchmark
market_blend_draw_calibrated,2018,62,0,0.532258064516129,0.9572099915635206,0.5714756325777466,0.20111731249426254,0.10216748409342764,0.5095066588764755,1.159590137773898,0.08333333333333333,0.11290322580645161,9,0.9011488246946099,2014,time-safe blend of bookmaker and draw/confidence calibrated official alpha=0.40
market_blend_tuned,2018,62,0,0.5483870967741935,0.9398490510200808,0.5589183446707893,0.19880747104732904,0.09107893842084787,0.5323767752365763,1.3145364208440142,0.0,0.0,11,0.8618852805231284,2014,time-safe alpha tuned blend alpha=0.40; p=alpha*model+(1-alpha)*market
official_model,2018,62,0,0.5161290322580645,0.9718632112817095,0.5830417544068218,0.2071064369538333,0.05906654661101181,0.5241119577182373,1.338032416793263,0.08333333333333333,0.0967741935483871,9,0.9424942559192178,none,official model from Stage 5 benchmark
official_model_confidence_calibrated,2018,62,0,0.5161290322580645,0.9716120653942962,0.5834244480791363,0.20723433324974688,0.02919331308494298,0.5250879600030339,1.3671488983986597,0.08333333333333333,0.0967741935483871,15,0.9310003245013612,2014,time-safe confidence-bucket exponent calibration
official_model_draw_calibrated,2018,62,0,0.3709677419354839,1.0537113200048756,0.6434721971323295,0.21844633022457696,0.16855462890284936,0.494730551951407,0.9442542138238661,0.3333333333333333,0.4838709677419355,7,0.6876102499009071,2014,time-safe draw multiplier=1.800
official_model_draw_confidence_calibrated,2018,62,0,0.3709677419354839,1.0337651467753326,0.6301429041251984,0.21593505788154857,0.1660828135667239,0.4977557658639371,0.9855655113722489,0.3333333333333333,0.4838709677419355,12,0.7176340803233189,2014,time-safe draw multiplier plus confidence-bucket calibration
bookmaker_odds_only,2022,63,0,0.5238095238095238,1.0106515071917455,0.5917997441675275,0.21038473944708233,0.11222955068799875,0.5631781806863594,1.295011209718578,0.0,0.0,16,1.030488476198986,none,bookmaker odds-only from Stage 5 benchmark
market_blend_draw_calibrated,2022,63,0,0.5238095238095238,1.0106515071917455,0.5917997441675275,0.21038473944708233,0.11222955068799875,0.5631781806863594,1.295011209718578,0.0,0.0,16,1.030488476198986,"2014,2018",time-safe blend of bookmaker and draw/confidence calibrated official alpha=0.00
market_blend_tuned,2022,63,0,0.5238095238095238,1.0182117121577743,0.5973045327564923,0.21310063576089114,0.05351699600510626,0.559184214182141,1.317902768848724,0.0,0.0,16,1.0277260141038898,"2014,2018",time-safe alpha tuned blend alpha=0.20; p=alpha*model+(1-alpha)*market
official_model,2022,63,0,0.47619047619047616,1.0879858812870227,0.640952939495712,0.23334884220283314,0.13211761613836004,0.5544119251750602,1.4260541430829428,0.0,0.0,18,0.8656415719425046,none,official model from Stage 5 benchmark
official_model_confidence_calibrated,2022,63,0,0.47619047619047616,1.119130919230637,0.6659743534070345,0.24272217632210927,0.13765075052061598,0.5404645109987419,1.4488584905783306,0.0,0.0,18,1.357167724391878,"2014,2018",time-safe confidence-bucket exponent calibration
official_model_draw_calibrated,2022,63,0,0.42857142857142855,1.1118862186973313,0.6467502189107651,0.23199119125978165,0.15998164103076282,0.48735658821735256,1.0155373985594036,0.3333333333333333,0.2698412698412698,6,1.156890561560049,"2014,2018",time-safe draw multiplier=1.800
official_model_draw_confidence_calibrated,2022,63,0,0.42857142857142855,1.1379830802271904,0.6531444281374023,0.23721529241234982,0.13082268842519904,0.5003100009059173,1.047174540490818,0.3333333333333333,0.2698412698412698,17,1.1059595484666476,"2014,2018",time-safe draw multiplier plus confidence-bucket calibration
