model_name,test_year,parameter,value,tuning_source_years,tuning_log_loss,selected_value,selected,notes,bucket_n,bucket_mean_confidence,bucket_empirical_accuracy
official_model_draw_calibrated,2014,draw_multiplier,0.55,none,,1.0,False,limited: no prior tournament rows; identity draw multiplier,,,
official_model_draw_calibrated,2014,draw_multiplier,0.6,none,,1.0,False,limited: no prior tournament rows; identity draw multiplier,,,
official_model_draw_calibrated,2014,draw_multiplier,0.65,none,,1.0,False,limited: no prior tournament rows; identity draw multiplier,,,
official_model_draw_calibrated,2014,draw_multiplier,0.7,none,,1.0,False,limited: no prior tournament rows; identity draw multiplier,,,
official_model_draw_calibrated,2014,draw_multiplier,0.75,none,,1.0,False,limited: no prior tournament rows; identity draw multiplier,,,
official_model_draw_calibrated,2014,draw_multiplier,0.8,none,,1.0,False,limited: no prior tournament rows; identity draw multiplier,,,
official_model_draw_calibrated,2014,draw_multiplier,0.85,none,,1.0,False,limited: no prior tournament rows; identity draw multiplier,,,
official_model_draw_calibrated,2014,draw_multiplier,0.9,none,,1.0,False,limited: no prior tournament rows; identity draw multiplier,,,
official_model_draw_calibrated,2014,draw_multiplier,0.95,none,,1.0,False,limited: no prior tournament rows; identity draw multiplier,,,
official_model_draw_calibrated,2014,draw_multiplier,1.0,none,,1.0,True,limited: no prior tournament rows; identity draw multiplier,,,
official_model_draw_calibrated,2014,draw_multiplier,1.05,none,,1.0,False,limited: no prior tournament rows; identity draw multiplier,,,
official_model_draw_calibrated,2014,draw_multiplier,1.1,none,,1.0,False,limited: no prior tournament rows; identity draw multiplier,,,
official_model_draw_calibrated,2014,draw_multiplier,1.15,none,,1.0,False,limited: no prior tournament rows; identity draw multiplier,,,
official_model_draw_calibrated,2014,draw_multiplier,1.2,none,,1.0,False,limited: no prior tournament rows; identity draw multiplier,,,
official_model_draw_calibrated,2014,draw_multiplier,1.25,none,,1.0,False,limited: no prior tournament rows; identity draw multiplier,,,
official_model_draw_calibrated,2014,draw_multiplier,1.3,none,,1.0,False,limited: no prior tournament rows; identity draw multiplier,,,
official_model_draw_calibrated,2014,draw_multiplier,1.35,none,,1.0,False,limited: no prior tournament rows; identity draw multiplier,,,
official_model_draw_calibrated,2014,draw_multiplier,1.4,none,,1.0,False,limited: no prior tournament rows; identity draw multiplier,,,
official_model_draw_calibrated,2014,draw_multiplier,1.45,none,,1.0,False,limited: no prior tournament rows; identity draw multiplier,,,
official_model_draw_calibrated,2014,draw_multiplier,1.5,none,,1.0,False,limited: no prior tournament rows; identity draw multiplier,,,
official_model_draw_calibrated,2014,draw_multiplier,1.55,none,,1.0,False,limited: no prior tournament rows; identity draw multiplier,,,
official_model_draw_calibrated,2014,draw_multiplier,1.6,none,,1.0,False,limited: no prior tournament rows; identity draw multiplier,,,
official_model_draw_calibrated,2014,draw_multiplier,1.65,none,,1.0,False,limited: no prior tournament rows; identity draw multiplier,,,
official_model_draw_calibrated,2014,draw_multiplier,1.7,none,,1.0,False,limited: no prior tournament rows; identity draw multiplier,,,
official_model_draw_calibrated,2014,draw_multiplier,1.75,none,,1.0,False,limited: no prior tournament rows; identity draw multiplier,,,
official_model_draw_calibrated,2014,draw_multiplier,1.8,none,,1.0,False,limited: no prior tournament rows; identity draw multiplier,,,
official_model_confidence_calibrated,2014,confidence_gamma:0.00-0.40,1.0,none,,1.0,True,limited: no prior rows; identity confidence calibration,,,
official_model_confidence_calibrated,2014,confidence_gamma:0.40-0.50,1.0,none,,1.0,True,limited: no prior rows; identity confidence calibration,,,
official_model_confidence_calibrated,2014,confidence_gamma:0.50-0.60,1.0,none,,1.0,True,limited: no prior rows; identity confidence calibration,,,
