world_cup_year,model_name,feature_set,benchmark,evaluation_scope,accuracy,log_loss,brier_score,ranked_probability_score,calibration_error,n_matches,n_train,train_max_date,tournament_start,feature_count,odds_covered_matches,odds_total_matches,odds_coverage_rate,alpha
2014,final_model,core_football_only,final_model,all_matches,0.546875,0.9454749121332021,0.5556936750324442,0.1948984181457783,0.1372680628449999,64,37861,2014-06-10,2014-06-12,46,,,,
2014,elo_only,elo_only,elo_only,all_matches,0.59375,1.0050786115919141,0.5957457030379675,0.21297185981748223,0.1485413322614993,64,37861,2014-06-10,2014-06-12,3,,,,
2014,fifa_ranking_only,fifa_ranking_only,fifa_ranking_only,all_matches,0.4375,1.0699577913942435,0.646672499793717,0.22991235446298547,0.18276272831420615,64,37861,2014-06-10,2014-06-12,10,,,,
2014,rolling_form_only,rolling_form_only,rolling_form_only,all_matches,0.625,0.99091443380127,0.589019150032746,0.20953371586549863,0.17622436336766584,64,37861,2014-06-10,2014-06-12,23,,,,
2014,majority_class_baseline,majority_class_baseline,majority_class_baseline,all_matches,0.453125,1.0593279019136927,0.6415542634525195,0.23957040256065815,0.04062846662792852,64,37861,2014-06-10,2014-06-12,0,,,,
2018,final_model,core_football_only,final_model,all_matches,0.5,0.9871858762339615,0.5928292586623171,0.20806876171890887,0.07188487848765801,64,41639,2018-06-12,2018-06-14,46,,,,
2018,elo_only,elo_only,elo_only,all_matches,0.53125,1.0246781707929786,0.6151869204929661,0.22388028194481047,0.08016362875681889,64,41639,2018-06-12,2018-06-14,3,,,,
2018,fifa_ranking_only,fifa_ranking_only,fifa_ranking_only,all_matches,0.5625,1.0792699806200545,0.6363702876766348,0.2317088906577946,0.15933077319208716,64,41639,2018-06-12,2018-06-14,10,,,,
2018,rolling_form_only,rolling_form_only,rolling_form_only,all_matches,0.421875,1.0490105911944012,0.6274486974302496,0.2315219422937515,0.09105981243270514,64,41639,2018-06-12,2018-06-14,23,,,,
2018,majority_class_baseline,majority_class_baseline,majority_class_baseline,all_matches,0.390625,1.0941107416461437,0.667755548735971,0.25265903190251,0.10158182533202048,64,41639,2018-06-12,2018-06-14,0,,,,
2022,final_model,core_football_only,final_model,all_matches,0.484375,1.079985660090643,0.6354551867279591,0.2314860183131656,0.12321200245115593,64,45700,2022-11-19,2022-11-20,46,,,,
2022,elo_only,elo_only,elo_only,all_matches,0.515625,1.0377226621518667,0.607103361355982,0.2127622238937984,0.09110021355947386,64,45700,2022-11-19,2022-11-20,3,,,,
2022,fifa_ranking_only,fifa_ranking_only,fifa_ranking_only,all_matches,0.515625,1.0846508587191215,0.6192553651815126,0.22032988688174968,0.14635023244886214,64,45700,2022-11-19,2022-11-20,10,,,,
2022,rolling_form_only,rolling_form_only,rolling_form_only,all_matches,0.4375,1.079741157029574,0.6540197843034906,0.23628509427732314,0.08920030299479564,64,45700,2022-11-19,2022-11-20,23,,,,
2022,majority_class_baseline,majority_class_baseline,majority_class_baseline,all_matches,0.4375,1.07425101587893,0.6511563367552635,0.2358305848364129,0.0540098468271335,64,45700,2022-11-19,2022-11-20,0,,,,
2014,final_model,core_football_only,final_model,odds_covered,0.5396825396825397,0.9559875364967557,0.5629226125258118,0.1974844003960847,0.1355323890014759,63,37861,2014-06-10,2014-06-12,46,63.0,64.0,0.984375,
2014,bookmaker_odds_only,market,bookmaker_odds_only,odds_covered,0.5714285714285714,0.952306951042265,0.5654441748357657,0.19820855728400116,0.09162777104302595,63,37861,2014-06-10,2014-06-12,3,63.0,64.0,0.984375,
2014,market_blend,core_football_only+market,market_blend,odds_covered,0.5714285714285714,0.952306951042265,0.5654441748357657,0.1982085572840012,0.09162777104302598,63,37861,2014-06-10,2014-06-12,49,63.0,64.0,0.984375,0.0
2018,final_model,core_football_only,final_model,odds_covered,0.5161290322580645,0.9718632112817095,0.5830417544068218,0.2071064369538333,0.05906654661101181,62,41639,2018-06-12,2018-06-14,46,62.0,64.0,0.96875,
2018,bookmaker_odds_only,market,bookmaker_odds_only,odds_covered,0.5645161290322581,0.9359585531369671,0.5515248344885412,0.19650959651457536,0.06893799930064501,62,41639,2018-06-12,2018-06-14,3,62.0,64.0,0.96875,
2018,market_blend,core_football_only+market,market_blend,odds_covered,0.5645161290322581,0.9359585531369671,0.5515248344885412,0.19650959651457536,0.06893799930064504,62,41639,2018-06-12,2018-06-14,49,62.0,64.0,0.96875,0.0
2022,final_model,core_football_only,final_model,odds_covered,0.47619047619047616,1.087985881287023,0.640952939495712,0.23334884220283314,0.13211761613836004,63,45700,2022-11-19,2022-11-20,46,63.0,64.0,0.984375,
2022,bookmaker_odds_only,market,bookmaker_odds_only,odds_covered,0.5238095238095238,1.0106515071917455,0.5917997441675275,0.21038473944708233,0.11222955068799872,63,45700,2022-11-19,2022-11-20,3,63.0,64.0,0.984375,
2022,market_blend,core_football_only+market,market_blend,odds_covered,0.5238095238095238,1.0106515071917455,0.5917997441675275,0.21038473944708233,0.11222955068799875,63,45700,2022-11-19,2022-11-20,49,63.0,64.0,0.984375,0.0
