world_cup_year,model_name,feature_set,n_sims,n_train,train_max_date,feature_count,odds_coverage_rate,missing_probability_fallback,alpha,actual_champion,actual_finalists,actual_semifinalists,champion_probability_assigned,actual_finalists_probability,actual_finalists_probability_sum,semifinalist_probability_recall,round_of_16_brier_score,group_qualification_accuracy,group_match_log_loss,group_match_accuracy,teams,group_matches,tournament_matches
2010,final_model,core_football_only,1000,33864,2010-06-08,46.0,,,,Spain,"Netherlands, Spain","Germany, Netherlands, Spain, Uruguay",0.196,0.245,0.49,0.5,0.16017575,0.8125,0.9815973823721255,0.5416666666666666,32,48,64
2010,elo_only,elo_only,1000,33864,2010-06-08,3.0,,,,Spain,"Netherlands, Spain","Germany, Netherlands, Spain, Uruguay",0.239,0.2725,0.545,0.5,0.1775310625,0.75,1.1039236037147326,0.4791666666666667,32,48,64
2014,final_model,core_football_only,1000,37861,2014-06-10,46.0,,,,Germany,"Argentina, Germany","Argentina, Brazil, Germany, Netherlands",0.122,0.203,0.406,0.75,0.18435574999999998,0.625,0.9019947564107921,0.5416666666666666,32,48,64
2014,elo_only,elo_only,1000,37861,2014-06-10,3.0,,,,Germany,"Argentina, Germany","Argentina, Brazil, Germany, Netherlands",0.127,0.20400000000000001,0.40800000000000003,0.75,0.2325626875,0.6875,1.0450948863002456,0.6041666666666666,32,48,64
2014,bookmaker_odds_only,market,1000,37861,2014-06-10,3.0,0.984375,elo_only,,Germany,"Argentina, Germany","Argentina, Brazil, Germany, Netherlands",0.129,0.2135,0.427,0.75,0.23809687499999999,0.5,0.9529007201826026,0.5625,32,48,64
2014,market_blend,core_football_only+market,1000,37861,2014-06-10,,0.984375,final_model,0.3,Germany,"Argentina, Germany","Argentina, Brazil, Germany, Netherlands",0.134,0.2405,0.481,0.75,0.2222055,0.625,0.9308778009707585,0.6041666666666666,32,48,64
2018,final_model,core_football_only,1000,41639,2018-06-12,46.0,,,,France,"Croatia, France","Belgium, Croatia, England, France",0.07,0.0905,0.181,0.0,0.1315376875,0.8125,0.9426628553667857,0.5833333333333334,32,48,64
2018,elo_only,elo_only,1000,41639,2018-06-12,3.0,,,,France,"Croatia, France","Belgium, Croatia, England, France",0.08,0.1,0.2,0.0,0.156699875,0.8125,1.0350811805818354,0.5625,32,48,64
2018,bookmaker_odds_only,market,1000,41639,2018-06-12,3.0,0.96875,elo_only,,France,"Croatia, France","Belgium, Croatia, England, France",0.095,0.10450000000000001,0.20900000000000002,0.25,0.1239136875,0.875,0.9291455660072375,0.5833333333333334,32,48,64
2018,market_blend,core_football_only+market,1000,41639,2018-06-12,,0.96875,final_model,0.3,France,"Croatia, France","Belgium, Croatia, England, France",0.095,0.1085,0.217,0.25,0.1278096875,0.875,0.9265948043050747,0.5833333333333334,32,48,64
2022,final_model,core_football_only,1000,45700,2022-11-19,46.0,,,,Argentina,"Argentina, France","Argentina, Croatia, France, Morocco",0.15,0.2175,0.435,0.5,0.203976125,0.625,1.1006722562153006,0.4791666666666667,32,48,64
2022,elo_only,elo_only,1000,45700,2022-11-19,3.0,,,,Argentina,"Argentina, France","Argentina, Croatia, France, Morocco",0.112,0.203,0.406,0.5,0.19361975,0.5625,1.0763444252452776,0.4583333333333333,32,48,64
2022,bookmaker_odds_only,market,1000,45700,2022-11-19,3.0,0.984375,elo_only,,Argentina,"Argentina, France","Argentina, Croatia, France, Morocco",0.166,0.23,0.46,0.5,0.2217971875,0.625,1.040835451948552,0.5,32,48,64
2022,market_blend,core_football_only+market,1000,45700,2022-11-19,,0.984375,final_model,0.3,Argentina,"Argentina, France","Argentina, Croatia, France, Morocco",0.144,0.22949999999999998,0.45899999999999996,0.5,0.20819499999999996,0.625,1.041137397354418,0.5208333333333334,32,48,64
