
rank,team,points
1,Brazil,1841.3
2,Belgium,1816.71
3,Argentina,1773.88
4,France,1759.78
5,England,1728.47
6,Italy,1726.14
7,Spain,1715.22
8,Netherlands,1694.51
9,Portugal,1676.56
10,Denmark,1666.57
11,Germany,1650.21
12,Croatia,1645.64
13,Mexico,1644.89
14,Uruguay,1638.71
15,Switzerland,1635.92
16,United States,1627.48
17,Colombia,1611.04
18,Senegal,1584.38
19,Wales,1569.82
20,Iran,1564.61
21,Serbia,1563.62
22,Morocco,1563.5
23,Peru,1561.01
24,Japan,1559.54
25,Sweden,1553.33
26,Poland,1548.59
27,Ukraine,1536.99
28,South Korea,1530.3
29,Chile,1509.61
30,Tunisia,1507.54
