date,team,rank,points,source,retrieved_at
2026-06-11,Argentina,1,1877.27,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Spain,2,1874.71,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,France,3,1870.7,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,England,4,1828.02,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Portugal,5,1767.85,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Brazil,6,1765.86,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Morocco,7,1755.1,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Netherlands,8,1753.57,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Belgium,9,1742.24,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Germany,10,1735.77,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Croatia,11,1714.87,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Italy,12,1704.73,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Colombia,13,1698.35,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Mexico,14,1687.48,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Senegal,15,1684.07,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Uruguay,16,1673.07,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,USA,17,1671.23,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Japan,18,1661.58,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Switzerland,19,1650.06,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,IR Iran,20,1619.58,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Denmark,21,1619.47,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Türkiye,22,1605.73,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Ecuador,23,1598.52,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Austria,24,1597.4,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Korea Republic,25,1591.63,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Nigeria,26,1585.02,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Australia,27,1579.34,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Algeria,28,1571.03,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Egypt,29,1562.37,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Canada,30,1559.48,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Norway,31,1557.44,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Ukraine,32,1549.29,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Côte d'Ivoire,33,1540.87,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Panama,34,1539.16,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Russia,35,1529.6,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Poland,36,1526.18,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Wales,37,1516.95,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Sweden,38,1509.79,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Hungary,39,1506.39,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Czechia,40,1505.74,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Paraguay,41,1505.35,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Scotland,42,1503.34,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Serbia,43,1502.13,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Cameroon,44,1481.24,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Tunisia,45,1476.41,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Congo DR,46,1474.43,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Slovakia,47,1473.66,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Greece,48,1473.19,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Venezuela,49,1469.18,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Uzbekistan,50,1458.73,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Chile,51,1458.2,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Peru,52,1457.69,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Costa Rica,53,1456.03,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Romania,54,1455.89,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Mali,55,1455.59,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Qatar,56,1450.31,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Iraq,57,1446.28,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Republic of Ireland,58,1441.1,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Slovenia,59,1441.09,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,South Africa,60,1428.38,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Saudi Arabia,61,1423.88,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Burkina Faso,62,1406.99,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Jordan,63,1387.74,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Bosnia and Herzegovina,64,1387.22,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Honduras,65,1378.97,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Albania,66,1376.03,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Cabo Verde,67,1371.11,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,United Arab Emirates,68,1370.47,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,North Macedonia,69,1369.16,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Northern Ireland,70,1365.3,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Jamaica,71,1357.84,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Georgia,72,1355.26,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Ghana,73,1346.88,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Iceland,74,1342.77,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Finland,75,1341.92,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Israel,76,1333.9,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Bolivia,77,1326.0,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Kosovo,78,1319.12,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Oman,79,1306.9,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Montenegro,80,1301.98,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Guinea,81,1295.6,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Curaçao,82,1294.77,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Haiti,83,1293.1,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Syria,84,1283.05,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,New Zealand,85,1275.58,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Gabon,86,1272.51,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Bulgaria,87,1271.68,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Angola,88,1265.58,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Uganda,89,1264.09,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Zambia,90,1255.82,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,China PR,91,1254.81,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Bahrain,92,1254.41,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Benin,93,1252.17,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Thailand,94,1250.8,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Palestine,95,1243.71,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Belarus,96,1242.88,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Guatemala,97,1238.74,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Luxembourg,98,1232.82,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Vietnam,99,1225.68,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,El Salvador,100,1225.34,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Tajikistan,101,1224.19,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Trinidad and Tobago,102,1219.59,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Mozambique,103,1218.62,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Madagascar,104,1202.69,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Equatorial Guinea,105,1195.2,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Kyrgyz Republic,106,1192.16,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Armenia,107,1189.63,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Comoros,108,1187.91,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Kenya,109,1185.08,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Libya,110,1182.08,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Kazakhstan,111,1180.78,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Tanzania,112,1180.27,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Mauritania,113,1176.68,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Niger,114,1175.33,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Lebanon,115,1172.22,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,The Gambia,116,1159.64,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Sudan,117,1157.22,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Indonesia,118,1157.14,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Togo,119,1152.76,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Korea DPR,120,1151.05,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Namibia,121,1148.84,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Sierra Leone,122,1147.56,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Faroe Islands,123,1136.59,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Cyprus,124,1133.25,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Suriname,125,1132.43,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Azerbaijan,126,1132.0,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Estonia,127,1130.64,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Rwanda,128,1126.62,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Malawi,129,1122.05,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Zimbabwe,130,1119.78,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Nicaragua,131,1114.63,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Guinea-Bissau,132,1108.38,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Kuwait,133,1106.47,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Congo,134,1105.96,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Philippines,135,1100.95,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Malaysia,136,1086.22,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Latvia,137,1085.66,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,India,138,1084.93,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Central African Republic,139,1080.82,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Liberia,140,1080.44,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Turkmenistan,141,1078.65,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Burundi,142,1078.01,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Ethiopia,143,1077.52,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Dominican Republic,144,1076.5,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Yemen,145,1065.24,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Lesotho,146,1064.29,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Botswana,147,1063.63,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Singapore,148,1057.95,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Lithuania,149,1056.85,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Guyana,150,1049.32,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,New Caledonia,151,1036.95,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,St Kitts and Nevis,152,1036.33,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Solomon Islands,153,1031.89,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Puerto Rico,154,1024.3,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Fiji,155,1024.17,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,"Hong Kong, China",156,1024.16,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Tahiti,157,1019.04,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Myanmar,158,1010.91,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Moldova,159,1008.24,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Vanuatu,160,1002.53,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Malta,161,992.79,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Antigua and Barbuda,162,986.58,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Grenada,163,981.82,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Cuba,164,981.42,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Eswatini,165,979.01,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,St Lucia,166,976.71,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Bermuda,167,975.05,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Papua New Guinea,168,974.9,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,South Sudan,169,970.94,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,St Vincent and the Grenadines,170,968.27,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Afghanistan,171,968.07,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Andorra,172,946.43,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Maldives,173,943.92,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Chinese Taipei,174,923.78,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Cambodia,175,922.32,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Montserrat,176,916.75,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Nepal,177,914.54,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Mauritius,178,911.49,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Barbados,179,909.89,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Belize,180,907.0,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Bangladesh,181,902.93,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Dominica,182,897.69,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Chad,183,896.85,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Eritrea,184,887.06,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Laos,185,885.03,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Cook Islands,186,877.53,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Sri Lanka,187,876.86,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Samoa,188,876.41,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Aruba,189,875.61,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Mongolia,190,874.47,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,American Samoa,191,871.61,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Bhutan,192,870.81,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Macau,193,858.03,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Brunei Darussalam,194,857.73,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,São Tomé and Príncipe,195,855.44,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Djibouti,196,853.58,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Cayman Islands,197,850.06,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Pakistan,198,840.28,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Somalia,199,839.17,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Tonga,200,835.64,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Timor-Leste,201,831.0,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Gibraltar,202,820.26,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Guam,203,819.54,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Seychelles,204,804.16,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Turks and Caicos Islands,205,803.98,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
2026-06-11,Liechtenstein,206,797.7,https://inside.fifa.com/fifa-world-ranking/men (via whereig.com),2026-06-23
