date,team,missing_starters_count,missing_key_players_count,injury_impact_score,suspension_impact_score,goalkeeper_missing,captain_missing,minutes_lost_from_expected_xi,source,updated_at
2026-06-22,France,0,0,0.25,0.0,0,0,,https://www.espn.com/soccer/story/_/id/48572979/2026-fifa-world-cup-injuries-tracker-which-stars-miss-latest-info,2026-06-22
2026-06-22,England,1,1,0.75,0.0,0,0,,https://www.espn.com/soccer/story/_/id/48572979/2026-fifa-world-cup-injuries-tracker-which-stars-miss-latest-info,2026-06-22
2026-06-22,Spain,1,0,0.5,0.0,0,0,,https://www.espn.com/soccer/story/_/id/48572979/2026-fifa-world-cup-injuries-tracker-which-stars-miss-latest-info,2026-06-22
2026-06-22,Portugal,0,0,0.0,0.0,0,0,,https://www.espn.com/soccer/story/_/id/48572979/2026-fifa-world-cup-injuries-tracker-which-stars-miss-latest-info,2026-06-22
2026-06-22,Germany,2,2,1.0,0.0,1,0,,https://www.espn.com/soccer/story/_/id/48572979/2026-fifa-world-cup-injuries-tracker-which-stars-miss-latest-info,2026-06-22
2026-06-22,Brazil,3,1,1.0,0.0,0,0,,https://www.espn.com/soccer/story/_/id/48572979/2026-fifa-world-cup-injuries-tracker-which-stars-miss-latest-info,2026-06-22
2026-06-22,Argentina,2,1,1.0,0.0,0,0,,https://www.espn.com/soccer/story/_/id/48572979/2026-fifa-world-cup-injuries-tracker-which-stars-miss-latest-info,2026-06-22
2026-06-22,Netherlands,2,0,1.0,0.0,0,0,,https://www.espn.com/soccer/story/_/id/48572979/2026-fifa-world-cup-injuries-tracker-which-stars-miss-latest-info,2026-06-22
2026-06-22,Norway,0,0,0.0,0.0,0,0,,https://www.espn.com/soccer/story/_/id/48572979/2026-fifa-world-cup-injuries-tracker-which-stars-miss-latest-info,2026-06-22
2026-06-22,Belgium,0,0,0.0,0.0,0,0,,https://www.espn.com/soccer/story/_/id/48572979/2026-fifa-world-cup-injuries-tracker-which-stars-miss-latest-info,2026-06-22
2026-06-22,Ivory Coast,0,0,0.0,0.0,0,0,,https://www.espn.com/soccer/story/_/id/48572979/2026-fifa-world-cup-injuries-tracker-which-stars-miss-latest-info,2026-06-22
2026-06-22,Senegal,0,0,0.0,0.0,0,0,,https://www.espn.com/soccer/story/_/id/48572979/2026-fifa-world-cup-injuries-tracker-which-stars-miss-latest-info,2026-06-22
2026-06-22,Turkey,1,0,0.5,0.0,0,0,,https://www.espn.com/soccer/story/_/id/48572979/2026-fifa-world-cup-injuries-tracker-which-stars-miss-latest-info,2026-06-22
2026-06-22,Morocco,1,1,0.75,0.0,0,0,,https://www.espn.com/soccer/story/_/id/48572979/2026-fifa-world-cup-injuries-tracker-which-stars-miss-latest-info,2026-06-22
2026-06-22,Sweden,0,0,0.0,0.0,0,0,,https://www.espn.com/soccer/story/_/id/48572979/2026-fifa-world-cup-injuries-tracker-which-stars-miss-latest-info,2026-06-22
2026-06-22,Croatia,1,1,0.75,0.0,0,0,,https://www.espn.com/soccer/story/_/id/48572979/2026-fifa-world-cup-injuries-tracker-which-stars-miss-latest-info,2026-06-22
2026-06-22,United States,0,0,0.5,0.0,0,0,,https://www.espn.com/soccer/story/_/id/48572979/2026-fifa-world-cup-injuries-tracker-which-stars-miss-latest-info,2026-06-22
2026-06-22,Ecuador,0,0,0.0,0.0,0,0,,https://www.espn.com/soccer/story/_/id/48572979/2026-fifa-world-cup-injuries-tracker-which-stars-miss-latest-info,2026-06-22
2026-06-22,Uruguay,1,0,0.5,0.0,0,0,,https://www.espn.com/soccer/story/_/id/48572979/2026-fifa-world-cup-injuries-tracker-which-stars-miss-latest-info,2026-06-22
