
date,home_team,away_team,home_odds,draw_odds,away_odds,bookmaker,source,updated_at
2014-06-12,Brazil,Croatia,1.31,5.11,12.02,Market average,https://www.football-data.co.uk/WorldCup2026.xlsx,2026-06-23
2014-06-13,Mexico,Cameroon,2.18,3.14,3.74,Market average,https://www.football-data.co.uk/WorldCup2026.xlsx,2026-06-23
2014-06-13,Spain,Netherlands,1.84,3.32,4.99,Market average,https://www.football-data.co.uk/WorldCup2026.xlsx,2026-06-23
2014-06-13,Chile,Australia,1.42,4.4,8.63,Market average,https://www.football-data.co.uk/WorldCup2026.xlsx,2026-06-23
2014-06-14,Uruguay,Costa Rica,1.44,4.2,9.02,Market average,https://www.football-data.co.uk/WorldCup2026.xlsx,2026-06-23
2014-06-14,England,Italy,2.51,2.99,3.23,Market average,https://www.football-data.co.uk/WorldCup2026.xlsx,2026-06-23
2014-06-14,Colombia,Greece,1.84,3.26,5.12,Market average,https://www.football-data.co.uk/WorldCup2026.xlsx,2026-06-23
2014-06-15,Ivory Coast,Japan,2.68,3.31,2.7,Market average,https://www.football-data.co.uk/WorldCup2026.xlsx,2026-06-23
2014-06-15,Switzerland,Ecuador,2.4,3.21,3.13,Market average,https://www.football-data.co.uk/WorldCup2026.xlsx,2026-06-23
2014-06-15,France,Honduras,1.26,5.89,12.4,Market average,https://www.football-data.co.uk/WorldCup2026.xlsx,2026-06-23
2014-06-15,Argentina,Bosnia & Herzegovina,1.31,5.56,10.24,Market average,https://www.football-data.co.uk/WorldCup2026.xlsx,2026-06-23
2014-06-16,Iran,Nigeria,4.77,3.43,1.84,Market average,https://www.football-data.co.uk/WorldCup2026.xlsx,2026-06-23
2014-06-16,Germany,Portugal,2.07,3.49,3.64,Market average,https://www.football-data.co.uk/WorldCup2026.xlsx,2026-06-23
2014-06-16,Ghana,United States,2.42,3.39,2.99,Market average,https://www.football-data.co.uk/WorldCup2026.xlsx,2026-06-23
2014-06-17,Brazil,Mexico,1.34,5.25,9.17,Market average,https://www.football-data.co.uk/WorldCup2026.xlsx,2026-06-23
2014-06-17,Russia,South Korea,1.83,3.56,4.6,Market average,https://www.football-data.co.uk/WorldCup2026.xlsx,2026-06-23
2014-06-17,Belgium,Algeria,1.34,5.14,9.89,Market average,https://www.football-data.co.uk/WorldCup2026.xlsx,2026-06-23
