team,squad_market_value,starting_xi_market_value,top_5_player_rating_avg,top_11_player_rating_avg,goalkeeper_strength,defense_strength,midfield_strength,attack_strength,bench_strength,avg_age,total_caps,international_goals,club_minutes_last_season,club_minutes_recent_90_days,source,updated_at
France,1520.0,,,,,,,,,,,,,,https://sports.yahoo.com/articles/top-10-most-valuable-squads-093615752.html,2026-06-22
England,1360.0,,,,,,,,,,,,,,https://sports.yahoo.com/articles/top-10-most-valuable-squads-093615752.html,2026-06-22
Spain,1220.0,,,,,,,,,,,,,,https://sports.yahoo.com/articles/top-10-most-valuable-squads-093615752.html,2026-06-22
Portugal,1010.0,,,,,,,,,,,,,,https://sports.yahoo.com/articles/top-10-most-valuable-squads-093615752.html,2026-06-22
Germany,947.0,,,,,,,,,,,,,,https://sports.yahoo.com/articles/top-10-most-valuable-squads-093615752.html,2026-06-22
Brazil,928.2,,,,,,,,,,,,,,https://sports.yahoo.com/articles/top-10-most-valuable-squads-093615752.html,2026-06-22
Argentina,807.5,,,,,,,,,,,,,,https://sports.yahoo.com/articles/top-10-most-valuable-squads-093615752.html,2026-06-22
Netherlands,754.2,,,,,,,,,,,,,,https://sports.yahoo.com/articles/top-10-most-valuable-squads-093615752.html,2026-06-22
Norway,589.9,,,,,,,,,,,,,,https://sports.yahoo.com/articles/top-10-most-valuable-squads-093615752.html,2026-06-22
Belgium,547.5,,,,,,,,,,,,,,https://sports.yahoo.com/articles/top-10-most-valuable-squads-093615752.html,2026-06-22
Ivory Coast,522.1,,,,,,,,,,,,,,https://sports.yahoo.com/articles/top-10-most-valuable-squads-093615752.html,2026-06-22
Senegal,478.1,,,,,,,,,,,,,,https://sports.yahoo.com/articles/top-10-most-valuable-squads-093615752.html,2026-06-22
Turkey,473.7,,,,,,,,,,,,,,https://sports.yahoo.com/articles/top-10-most-valuable-squads-093615752.html,2026-06-22
Morocco,447.7,,,,,,,,,,,,,,https://sports.yahoo.com/articles/top-10-most-valuable-squads-093615752.html,2026-06-22
Sweden,406.08,,,,,,,,,,,,,,https://sports.yahoo.com/articles/top-10-most-valuable-squads-093615752.html,2026-06-22
Croatia,387.3,,,,,,,,,,,,,,https://sports.yahoo.com/articles/top-10-most-valuable-squads-093615752.html,2026-06-22
United States,385.6,,,,,,,,,,,,,,https://sports.yahoo.com/articles/top-10-most-valuable-squads-093615752.html,2026-06-22
Ecuador,368.7,,,,,,,,,,,,,,https://sports.yahoo.com/articles/top-10-most-valuable-squads-093615752.html,2026-06-22
Uruguay,359.3,,,,,,,,,,,,,,https://sports.yahoo.com/articles/top-10-most-valuable-squads-093615752.html,2026-06-22
Switzerland,332.5,,,,,,,,,,,,,,https://sports.yahoo.com/articles/top-10-most-valuable-squads-093615752.html,2026-06-22
Colombia,302.35,,,,,,,,,,,,,,https://sports.yahoo.com/articles/top-10-most-valuable-squads-093615752.html,2026-06-22
Japan,270.85,,,,,,,,,,,,,,https://sports.yahoo.com/articles/top-10-most-valuable-squads-093615752.html,2026-06-22
Algeria,256.9,,,,,,,,,,,,,,https://sports.yahoo.com/articles/top-10-most-valuable-squads-093615752.html,2026-06-22
Austria,245.2,,,,,,,,,,,,,,https://sports.yahoo.com/articles/top-10-most-valuable-squads-093615752.html,2026-06-22
Ghana,234.5,,,,,,,,,,,,,,https://sports.yahoo.com/articles/top-10-most-valuable-squads-093615752.html,2026-06-22
Canada,198.65,,,,,,,,,,,,,,https://sports.yahoo.com/articles/top-10-most-valuable-squads-093615752.html,2026-06-22
Mexico,191.85,,,,,,,,,,,,,,https://sports.yahoo.com/articles/top-10-most-valuable-squads-093615752.html,2026-06-22
Czechia,188.18,,,,,,,,,,,,,,https://sports.yahoo.com/articles/top-10-most-valuable-squads-093615752.html,2026-06-22
