date,team,elo,source,retrieved_at
2026-06-22,Afghanistan,961,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Albania,1616,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Algeria,1759,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,American Samoa,369,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Andorra,1080,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Angola,1542,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Anguilla,646,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Antigua and Barbuda,894,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Argentina,2128,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Armenia,1373,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Aruba,979,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Australia,1799,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Austria,1857,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Azerbaijan,1322,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Bahamas,685,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Bahrain,1414,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Bangladesh,942,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Barbados,898,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Belarus,1522,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Belgium,1869,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Belize,1073,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Benin,1405,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Bermuda,1117,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Bhutan,623,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Bolivia,1621,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Bonaire,817,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Bosnia and Herzegovina,1596,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Botswana,1267,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Brazil,1986,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,British Virgin Islands,743,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Brunei,572,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Bulgaria,1458,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Burkina Faso,1529,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Burundi,1285,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Cambodia,871,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
2026-06-22,Cameroon,1614,snapshot:elo_2026-06-22.csv,2026-06-22T22:06:19.746940+00:00
