rank,team,elo,date,source,retrieved_at
1,Spain,2134,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
2,Argentina,2128,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
3,France,2084,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
4,England,2055,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
5,Colombia,1998,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
6,Brazil,1986,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
7,Netherlands,1972,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
8,Portugal,1967,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
9,Germany,1954,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
10,Norway,1929,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
11,Japan,1925,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
12,Mexico,1896,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
13,Switzerland,1885,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
14,Croatia,1881,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
15,Italy,1869,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
15,Denmark,1869,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
15,Belgium,1869,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
18,Morocco,1866,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
19,Ecuador,1864,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
20,Austria,1857,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
21,Uruguay,1851,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
22,Senegal,1839,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
23,United States,1820,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
24,Paraguay,1816,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
25,Turkey,1813,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
26,Australia,1799,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
27,Ukraine,1780,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
28,Canada,1777,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
29,Russia,1772,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
30,South Korea,1771,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
31,Scotland,1768,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
32,Nigeria,1767,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
33,Iran,1766,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
34,Algeria,1759,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
35,Greece,1744,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
36,Serbia,1734,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
37,Venezuela,1733,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
38,Ivory Coast,1728,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
39,Sweden,1727,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
40,Chile,1717,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
41,Kosovo,1714,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
42,Egypt,1711,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
43,Hungary,1710,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
43,Poland,1710,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
45,Ireland,1699,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
45,Peru,1699,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
47,Uzbekistan,1698,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
48,Czech Republic,1696,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
49,Panama,1683,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
50,Wales,1682,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
50,Slovenia,1682,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
52,Dem. Rep. of Congo,1674,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
53,Slovakia,1667,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
54,Georgia,1654,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
55,Jordan,1653,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
56,Israel,1647,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
57,Romania,1639,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
58,Cape Verde,1625,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
59,Bolivia,1621,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
60,Albania,1616,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
61,Cameroon,1614,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
62,Costa Rica,1608,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
63,Northern Ireland,1605,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
64,Bosnia and Herzegovina,1596,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
65,Saudi Arabia,1593,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
66,Iraq,1592,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
67,North Macedonia,1589,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
68,Mali,1588,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
69,New Zealand,1578,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
70,Tunisia,1570,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
70,Honduras,1570,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
72,Iceland,1568,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
73,Ghana,1557,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
74,Angola,1542,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
75,United Arab Emirates,1540,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
76,Finland,1536,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
77,Burkina Faso,1529,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
78,Haiti,1528,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
79,Jamaica,1527,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
79,South Africa,1527,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
81,Belarus,1522,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
82,Guatemala,1505,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
83,Syria,1479,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
83,Oman,1479,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
85,Palestine,1465,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
86,Guinea,1463,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
87,Montenegro,1461,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
88,Bulgaria,1458,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
89,Northern Cyprus,1457,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
90,Curaçao,1453,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
91,Luxembourg,1450,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
92,Qatar,1437,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
93,Suriname,1431,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
94,Kazakhstan,1428,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
95,Kurdistan,1425,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
96,China,1424,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
97,Libya,1420,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
98,Gambia,1419,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
99,Bahrain,1414,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
100,Benin,1405,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
101,Gabon,1401,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
102,Uganda,1394,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
103,Faroe Islands,1386,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
103,Trinidad and Tobago,1386,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
105,Niger,1382,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
106,Equatorial Guinea,1380,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
106,Madagascar,1380,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
108,Togo,1379,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
109,Thailand,1376,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
110,Comoros,1374,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
111,North Korea,1373,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
111,Armenia,1373,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
113,Indonesia,1372,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
113,Zimbabwe,1372,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
115,Zambia,1371,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
116,Kenya,1363,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
117,Estonia,1360,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
118,Vietnam,1351,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
119,Sudan,1350,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
120,Reunion,1346,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
121,Mozambique,1342,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
121,El Salvador,1342,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
123,Sierra Leone,1341,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
124,Guadeloupe,1338,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
125,Rwanda,1336,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
126,Nicaragua,1333,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
127,Kuwait,1332,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
128,Mauritania,1329,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
129,Zanzibar,1326,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
130,Azerbaijan,1322,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
131,Cyprus,1314,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
132,Tanzania,1313,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
133,Martinique,1312,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
134,Liberia,1304,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
135,Namibia,1303,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
136,Kyrgyzstan,1295,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
137,Malaysia,1293,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
138,Guyana,1292,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
139,Latvia,1288,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
139,Lebanon,1288,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
141,Ethiopia,1287,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
142,New Caledonia,1286,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
143,Burundi,1285,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
143,Tajikistan,1285,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
145,Dominican Republic,1283,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
146,Lithuania,1279,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
147,Moldova,1270,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
148,Botswana,1267,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
149,Malta,1255,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
150,Guinea-Bissau,1248,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
151,Cuba,1239,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
151,Malawi,1239,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
153,Central African Republic,1236,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
154,French Guiana,1221,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
155,Mayotte,1217,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
156,Turkmenistan,1209,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
157,Congo,1206,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
158,Eritrea,1201,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
159,Lesotho,1198,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
160,Yemen,1195,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
161,Tahiti,1179,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
161,Philippines,1179,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
163,Eswatini,1148,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
164,Saint Vincent and the Grenadines,1141,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
165,Papua New Guinea,1136,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
166,Puerto Rico,1135,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
167,Singapore,1134,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
168,India,1128,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
169,Vanuatu,1118,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
170,Bermuda,1117,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
171,South Sudan,1109,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
172,Fiji,1104,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
173,Hong Kong,1101,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
174,Grenada,1098,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
175,Andorra,1080,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
176,Belize,1073,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
176,Mauritius,1073,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
176,Chad,1073,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
179,Solomon Islands,1054,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
180,Saint Martin,1042,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
181,São Tomé e Príncipe,1035,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
182,Saint Kitts and Nevis,1030,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
183,Gibraltar,1011,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
184,Saint Lucia,1003,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
185,Somaliland,1002,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
186,Western Sahara,996,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
187,Myanmar,984,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
188,Somalia,979,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
188,Aruba,979,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
190,Sint Maarten,975,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
191,Montserrat,972,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
192,Afghanistan,961,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
193,Greenland,946,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
194,Bangladesh,942,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
195,Djibouti,940,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
196,Dominica,934,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
197,Pakistan,909,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
198,Monaco,903,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
199,Barbados,898,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
200,Liechtenstein,895,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
201,Antigua and Barbuda,894,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
202,Nepal,893,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
203,Cambodia,871,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
204,Seychelles,853,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
205,Sri Lanka,836,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
206,San Marino,825,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
207,Chinese Taipei,822,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
208,Bonaire,817,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
209,Maldives,801,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
210,Cayman Islands,800,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
211,Chagos Islands,785,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
212,Sint Eustatius,757,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
213,Tuvalu,756,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
214,British Virgin Islands,743,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
215,Laos,734,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
215,Timor-Leste,734,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
217,Samoa,730,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
218,Mongolia,726,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
219,Saint Barthelemy,725,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
220,Guam,706,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
221,Wallis and Futuna,701,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
222,Vatican,692,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
223,Bahamas,685,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
224,Saint Pierre and Miquelon,677,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
225,Saba,671,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
226,Turks and Caicos,658,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
227,Anguilla,646,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
228,Tibet,630,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
229,US Virgin Islands,628,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
230,Bhutan,623,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
230,Cook Islands,623,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
232,Macau,589,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
233,Brunei,572,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
234,Falkland Islands,571,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
235,Micronesia,564,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
236,Marshall Islands,559,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
237,Kiribati,545,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
238,Tonga,521,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
239,Niue,496,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
240,Northern Mariana Islands,432,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
241,Palau,403,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
242,American Samoa,369,2026-06-22,https://www.eloratings.net (via international-football.net),2026-06-23
