match_id,source,date,home_team,away_team,neutral,tournament,competition_type,stage,group,country,city,venue,home_score,away_score,result,home_win,draw,away_win,goal_diff,total_goals,home_matches_last_5,away_matches_last_5,home_matches_last_10,away_matches_last_10,home_win_rate_last_5,away_win_rate_last_5,home_win_rate_last_10,away_win_rate_last_10,home_goals_for_avg_last_5,away_goals_for_avg_last_5,home_goals_against_avg_last_5,away_goals_against_avg_last_5,home_goal_diff_avg_last_5,away_goal_diff_avg_last_5,home_goals_for_avg_last_10,away_goals_for_avg_last_10,home_goals_against_avg_last_10,away_goals_against_avg_last_10,home_goal_diff_avg_last_10,away_goal_diff_avg_last_10,home_days_since_last_match,away_days_since_last_match,rest_days_diff,home_elo_pre_match,away_elo_pre_match,elo_diff,home_fifa_rank,away_fifa_rank,fifa_rank_diff,is_world_cup,is_qualifier,is_continental_tournament,is_friendly,match_weight,target_result_class,target_home_goals,target_away_goals,status,last_updated,source_priority,duplicate_group_id
historical_0c7726366ccbd364,historical_results,2010-01-02,Qatar,Mali,False,Friendly,friendly,,,Qatar,Doha,,0.0,0.0,draw,False,True,False,0.0,0.0,5,5,10,10,0.4,0.4,0.2,0.5,1.4,1.2,1.4,1.0,0.0,0.2,1.2,1.7,1.4,0.9,-0.2,0.8,3.0,3.0,0.0,1588.5449444032295,1606.5668878674144,-18.021943464184915,,,,False,False,False,True,0.00018476958948978158,1.0,0.0,0.0,FINISHED,,3,dup_00033590
historical_21d5d993425e9d26,historical_results,2010-01-02,Yemen,Tajikistan,False,Friendly,friendly,,,Yemen,Sana'a,,0.0,1.0,away_win,False,False,True,-1.0,1.0,5,5,10,10,0.6,0.4,0.3,0.4,1.2,1.4,1.4,2.2,-0.2,-0.8,1.0,1.5,2.1,1.3,-1.1,0.2,3.0,3.0,0.0,1398.4440295246188,1467.8289318383784,-69.38490231375954,,,,False,False,False,True,0.00018476958948978158,0.0,0.0,1.0,FINISHED,,3,dup_00033592
historical_7b7a45ad69ff3912,historical_results,2010-01-02,Iran,North Korea,True,Friendly,friendly,,,Qatar,Doha,,1.0,0.0,home_win,True,False,False,1.0,1.0,5,5,10,10,0.2,0.6,0.3,0.4,1.0,2.2,1.4,0.8,-0.4,1.4,1.2,2.0,1.4,0.7,-0.2,1.3,3.0,3.0,0.0,1688.9676779821734,1603.3788686484274,85.58880933374598,,,,False,False,False,True,0.00018476958948978158,2.0,1.0,0.0,FINISHED,,3,dup_00033589
historical_ae6cf6978c1c5f87,historical_results,2010-01-02,Syria,Zimbabwe,True,Friendly,friendly,,,Malaysia,Kuala Lumpur,,6.0,0.0,home_win,True,False,False,6.0,6.0,5,5,10,10,0.2,0.4,0.5,0.3,0.6,1.4,1.2,1.4,-0.6,0.0,1.2,1.3,0.7,1.5,0.5,-0.2,3.0,4.0,-1.0,1609.330588914322,1516.9313058143503,92.39928309997185,,,,False,False,False,True,0.00018476958948978158,2.0,6.0,0.0,FINISHED,,3,dup_00033591
historical_2e534b9d3c27d247,historical_results,2010-01-03,Angola,Gambia,True,Friendly,friendly,,,Portugal,Vila Real de Santo António,,1.0,1.0,draw,False,True,False,0.0,2.0,5,5,10,10,0.0,0.4,0.2,0.4,0.2,1.0,0.8,0.4,-0.6,0.6,0.7,1.0,0.7,0.5,0.0,0.5,4.0,449.0,-445.0,1552.0749188405498,1462.8496289795314,89.22528986101838,,,,False,False,False,True,0.00018502287195801487,1.0,1.0,1.0,FINISHED,,3,dup_00033593
historical_415130f27e3b0c4f,historical_results,2010-01-04,Egypt,Mali,True,Friendly,friendly,,,United Arab Emirates,Dubai,,1.0,0.0,home_win,True,False,False,1.0,1.0,5,5,10,10,0.6,0.4,0.6,0.4,1.8,1.0,0.6,0.8,1.2,0.2,2.0,1.3,0.9,0.9,1.1,0.4,6.0,2.0,4.0,1720.682879782969,1607.2093564045454,113.47352337842358,,,,False,False,False,True,0.00018527650162628774,2.0,1.0,0.0,FINISHED,,3,dup_00033594
historical_612911c9996bb724,historical_results,2010-01-04,Tanzania,Ivory Coast,False,Friendly,friendly,,,Tanzania,Dar es Salaam,,0.0,1.0,away_win,False,False,True,-1.0,1.0,5,5,10,10,0.6,0.4,0.4,0.6,1.4,2.2,0.6,0.6,0.8,1.6,1.2,2.4,1.4,0.8,-0.2,1.6,22.0,47.0,-25.0,1457.741253900446,1737.8969344997595,-280.1556805993134,,,,False,False,False,True,0.00018527650162628774,0.0,0.0,1.0,FINISHED,,3,dup_00033595
historical_af94ad806f0843bc,historical_results,2010-01-05,Ghana,Malawi,True,Friendly,friendly,,,Swaziland,Manzini,,0.0,0.0,draw,False,True,False,0.0,0.0,5,5,10,10,0.0,0.2,0.5,0.4,1.0,0.6,1.8,0.8,-0.8,-0.2,1.7,1.1,1.1,0.9,0.6,0.2,48.0,7.0,41.0,1668.398466491936,1458.4896996242385,209.90876686769752,,,,False,False,False,True,0.00018553047897054185,1.0,0.0,0.0,FINISHED,,3,dup_00033596
historical_0ffa574d69ef9a66,historical_results,2010-01-06,Thailand,Jordan,False,AFC Asian Cup qualification,continental_qualifier,,,Thailand,Bangkok,,0.0,0.0,draw,False,True,False,0.0,0.0,5,5,10,10,0.6,0.2,0.4,0.2,2.0,1.0,0.8,1.6,1.2,-0.6,1.4,0.9,0.8,1.6,0.6,-0.7,8.0,7.0,1.0,1559.1145314319328,1524.9645837784658,34.14994765346705,,,,False,True,False,False,0.0002919475498772996,1.0,0.0,0.0,FINISHED,,3,dup_00033605
historical_294c43701f6ef257,historical_results,2010-01-06,Indonesia,Oman,False,AFC Asian Cup qualification,continental_qualifier,,,Indonesia,Jakarta,,1.0,2.0,away_win,False,False,True,-1.0,3.0,5,5,10,10,0.0,0.2,0.2,0.4,0.6,1.2,1.2,1.4,-0.6,-0.2,1.1,1.2,1.1,1.1,0.0,0.1,49.0,6.0,43.0,1451.3284788128012,1628.4517909543001,-177.1233121414989,,,,False,True,False,False,0.0002919475498772996,0.0,1.0,2.0,FINISHED,,3,dup_00033601
historical_3fe288361b69db81,historical_results,2010-01-06,China,Syria,False,AFC Asian Cup qualification,continental_qualifier,,,China,Hangzhou,,0.0,0.0,draw,False,True,False,0.0,0.0,5,5,10,10,0.6,0.4,0.5,0.5,2.2,1.8,1.0,1.0,1.2,0.8,1.9,1.6,1.1,0.7,0.8,0.9,7.0,4.0,3.0,1610.7470042614664,1614.5116455957377,-3.764641334271346,,,,False,True,False,False,0.0002919475498772996,1.0,0.0,0.0,FINISHED,,3,dup_00033599
historical_4e38c1ee82589be2,historical_results,2010-01-06,Bahrain,Hong Kong,False,AFC Asian Cup qualification,continental_qualifier,,,Bahrain,Riffa,,4.0,0.0,home_win,True,False,False,4.0,4.0,5,5,10,10,0.4,0.2,0.5,0.4,2.2,2.4,0.8,2.2,1.4,0.2,1.8,2.5,0.9,1.9,0.9,0.6,49.0,49.0,0.0,1638.0130879099618,1416.8587118089931,221.15437610096865,,,,False,True,False,False,0.0002919475498772996,2.0,4.0,0.0,FINISHED,,3,dup_00033597
historical_5db721bcf6529c0c,historical_results,2010-01-06,Kuwait,Australia,False,AFC Asian Cup qualification,continental_qualifier,,,Kuwait,Kuwait City,,2.0,2.0,draw,False,True,False,0.0,4.0,5,5,10,10,0.4,0.6,0.4,0.6,2.0,1.4,0.8,0.8,1.2,0.6,1.4,1.3,0.8,0.6,0.6,0.7,21.0,53.0,-32.0,1545.5703681235589,1761.870453873676,-216.3000857501172,,,,False,True,False,False,0.0002919475498772996,1.0,2.0,2.0,FINISHED,,3,dup_00033602
historical_7471a879e98ded20,historical_results,2010-01-06,Gabon,Mozambique,True,Friendly,friendly,,,South Africa,Bloemfontein,,2.0,0.0,home_win,True,False,False,2.0,2.0,5,5,10,10,0.2,0.6,0.5,0.5,1.0,0.6,1.4,0.6,-0.4,0.0,1.7,0.6,1.1,0.8,0.6,-0.2,53.0,18.0,35.0,1581.4725198697613,1507.0033645856265,74.46915528413479,,,,False,False,False,True,0.00018578480446737242,2.0,2.0,0.0,FINISHED,,3,dup_00033600
historical_7f8826836d094a92,historical_results,2010-01-06,Yemen,Japan,False,AFC Asian Cup qualification,continental_qualifier,,,Yemen,Sana'a,,2.0,3.0,away_win,False,False,True,-1.0,5.0,5,5,10,10,0.4,0.8,0.3,0.6,1.0,3.4,1.6,0.0,-0.6,3.4,0.9,2.4,2.1,0.9,-1.2,1.5,4.0,49.0,-45.0,1391.8341843954574,1753.5628372954104,-361.728652899953,,,,False,True,False,False,0.0002919475498772996,0.0,2.0,3.0,FINISHED,,3,dup_00033607
historical_b7ad5faf0371e32a,historical_results,2010-01-06,Singapore,Iran,False,AFC Asian Cup qualification,continental_qualifier,,,Singapore,Singapore,,1.0,3.0,away_win,False,False,True,-2.0,4.0,5,5,10,10,0.4,0.2,0.4,0.4,1.6,1.0,2.0,1.4,-0.4,-0.4,1.5,1.2,2.0,1.3,-0.5,-0.1,6.0,4.0,2.0,1513.711976720691,1694.2773230504665,-180.5653463297756,,,,False,True,False,False,0.0002919475498772996,0.0,1.0,3.0,FINISHED,,3,dup_00033604
historical_d27f222d04b67f97,historical_results,2010-01-06,Lebanon,Vietnam,False,AFC Asian Cup qualification,continental_qualifier,,,Lebanon,Sidon,,1.0,1.0,draw,False,True,False,0.0,2.0,5,5,10,10,0.0,0.4,0.2,0.4,0.8,0.8,1.8,0.6,-1.0,0.2,0.8,1.1,1.4,1.2,-0.6,-0.1,45.0,49.0,-4.0,1404.7354947233996,1478.3077396446877,-73.57224492128807,,,,False,True,False,False,0.0002919475498772996,1.0,1.0,1.0,FINISHED,,3,dup_00033603
historical_d63c1c9640b58ed7,historical_results,2010-01-06,Benin,Libya,False,Friendly,friendly,,,Benin,Cotonou,,1.0,0.0,home_win,True,False,False,1.0,1.0,5,5,10,10,0.4,0.4,0.3,0.6,1.2,2.0,1.2,1.4,0.0,0.6,1.0,1.9,1.6,0.7,-0.6,1.2,53.0,93.0,-40.0,1483.8769820205298,1525.0699727655692,-41.192990745039424,,,,False,False,False,True,0.00018578480446737242,2.0,1.0,0.0,FINISHED,,3,dup_00033598
historical_e148b2d1ef579ac4,historical_results,2010-01-06,United Arab Emirates,Malaysia,False,AFC Asian Cup qualification,continental_qualifier,,,United Arab Emirates,Dubai,,1.0,0.0,home_win,True,False,False,1.0,1.0,5,5,10,10,0.2,0.4,0.1,0.2,0.8,2.2,0.6,1.4,0.2,0.8,0.8,1.2,1.8,1.7,-1.0,-0.5,21.0,7.0,14.0,1507.6001462139568,1387.6251057285683,119.97504048538849,,,,False,True,False,False,0.0002919475498772996,2.0,1.0,0.0,FINISHED,,3,dup_00033606
