fixture_id,date,kickoff_time,status,minute,home_team,away_team,venue,stage,group,source,updated_at
1489403,2026-06-23,2026-06-23T23:00:00+00:00,Second Half,79.0,Panama,Croatia,BMO Field,Group Stage - 2,Group Stage - 2,api_football:/fixtures,2026-06-24T00:37:30+00:00
1489369,2026-06-11,2026-06-11T19:00:00+00:00,Match Finished,90.0,Mexico,South Africa,Estadio Azteca,Group Stage - 1,Group Stage - 1,api_football:/fixtures,2026-06-24T00:37:30+00:00
1538999,2026-06-12,2026-06-12T02:00:00+00:00,Match Finished,90.0,South Korea,Czechia,Estadio Akron,Group Stage - 1,Group Stage - 1,api_football:/fixtures,2026-06-24T00:37:30+00:00
1539000,2026-06-12,2026-06-12T19:00:00+00:00,Match Finished,90.0,Canada,Bosnia and Herzegovina,BMO Field,Group Stage - 1,Group Stage - 1,api_football:/fixtures,2026-06-24T00:37:30+00:00
1489370,2026-06-13,2026-06-13T01:00:00+00:00,Match Finished,90.0,United States,Paraguay,SoFi Stadium,Group Stage - 1,Group Stage - 1,api_football:/fixtures,2026-06-24T00:37:30+00:00
1489373,2026-06-13,2026-06-13T19:00:00+00:00,Match Finished,90.0,Qatar,Switzerland,Levi's Stadium,Group Stage - 1,Group Stage - 1,api_football:/fixtures,2026-06-24T00:37:30+00:00
1489371,2026-06-13,2026-06-13T22:00:00+00:00,Match Finished,90.0,Brazil,Morocco,MetLife Stadium,Group Stage - 1,Group Stage - 1,api_football:/fixtures,2026-06-24T00:37:30+00:00
1489372,2026-06-14,2026-06-14T01:00:00+00:00,Match Finished,90.0,Haiti,Scotland,Gillette Stadium,Group Stage - 1,Group Stage - 1,api_football:/fixtures,2026-06-24T00:37:30+00:00
1539001,2026-06-14,2026-06-14T04:00:00+00:00,Match Finished,90.0,Australia,Turkey,BC Place,Group Stage - 1,Group Stage - 1,api_football:/fixtures,2026-06-24T00:37:30+00:00
1489374,2026-06-14,2026-06-14T17:00:00+00:00,Match Finished,90.0,Germany,Curacao,NRG Stadium,Group Stage - 1,Group Stage - 1,api_football:/fixtures,2026-06-24T00:37:30+00:00
1489376,2026-06-14,2026-06-14T20:00:00+00:00,Match Finished,90.0,Netherlands,Japan,AT&T Stadium,Group Stage - 1,Group Stage - 1,api_football:/fixtures,2026-06-24T00:37:30+00:00
1489375,2026-06-14,2026-06-14T23:00:00+00:00,Match Finished,90.0,Ivory Coast,Ecuador,Lincoln Financial Field,Group Stage - 1,Group Stage - 1,api_football:/fixtures,2026-06-24T00:37:30+00:00
1539002,2026-06-15,2026-06-15T02:00:00+00:00,Match Finished,90.0,Sweden,Tunisia,Estadio BBVA,Group Stage - 1,Group Stage - 1,api_football:/fixtures,2026-06-24T00:37:30+00:00
1489380,2026-06-15,2026-06-15T16:00:00+00:00,Match Finished,90.0,Spain,Cape Verde,Mercedes-Benz Stadium,Group Stage - 1,Group Stage - 1,api_football:/fixtures,2026-06-24T00:37:30+00:00
