fixture_id,date,home_team,away_team,status,minute,home_score,away_score,home_red_cards,away_red_cards,source,updated_at
1489369,2026-06-11,Mexico,South Africa,Match Finished,90.0,2.0,0.0,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1538999,2026-06-12,South Korea,Czechia,Match Finished,90.0,2.0,1.0,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1539000,2026-06-12,Canada,Bosnia and Herzegovina,Match Finished,90.0,1.0,1.0,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1489370,2026-06-13,United States,Paraguay,Match Finished,90.0,4.0,1.0,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1489373,2026-06-13,Qatar,Switzerland,Match Finished,90.0,1.0,1.0,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1489371,2026-06-13,Brazil,Morocco,Match Finished,90.0,1.0,1.0,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1489372,2026-06-14,Haiti,Scotland,Match Finished,90.0,0.0,1.0,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1539001,2026-06-14,Australia,Turkey,Match Finished,90.0,2.0,0.0,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1489374,2026-06-14,Germany,Curacao,Match Finished,90.0,7.0,1.0,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1489376,2026-06-14,Netherlands,Japan,Match Finished,90.0,2.0,2.0,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1489375,2026-06-14,Ivory Coast,Ecuador,Match Finished,90.0,1.0,0.0,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1539002,2026-06-15,Sweden,Tunisia,Match Finished,90.0,5.0,1.0,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1489380,2026-06-15,Spain,Cape Verde,Match Finished,90.0,0.0,0.0,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1489377,2026-06-15,Belgium,Egypt,Match Finished,90.0,1.0,1.0,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1489379,2026-06-15,Saudi Arabia,Uruguay,Match Finished,90.0,1.0,1.0,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1489378,2026-06-16,Iran,New Zealand,Match Finished,90.0,2.0,2.0,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1489383,2026-06-16,France,Senegal,Match Finished,90.0,3.0,1.0,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1539016,2026-06-16,Iraq,Norway,Match Finished,90.0,1.0,4.0,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1489381,2026-06-17,Argentina,Algeria,Match Finished,90.0,3.0,0.0,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1489382,2026-06-17,Austria,Jordan,Match Finished,90.0,3.0,1.0,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1539003,2026-06-17,Portugal,DR Congo,Match Finished,90.0,1.0,1.0,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1489384,2026-06-17,England,Croatia,Match Finished,90.0,4.0,2.0,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1489385,2026-06-17,Ghana,Panama,Match Finished,90.0,1.0,0.0,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
