match_id,source,date,home_team,away_team,neutral,tournament,competition_type,stage,group,country,city,venue,home_score,away_score,result,home_win,draw,away_win,goal_diff,total_goals,status,last_updated
worldcup_2026_46a8f4cc930d9c8a,worldcup_json,2026-06-11,Mexico,South Africa,True,World Cup 2026,world_cup,Matchday 1,Group A,,,,,,,,,,,,SCHEDULED,
worldcup_2026_894d86ece5e894eb,worldcup_json,2026-06-11,South Korea,Czechia,True,World Cup 2026,world_cup,Matchday 1,Group A,,,,,,,,,,,,SCHEDULED,
worldcup_2026_d37de223f8101645,worldcup_json,2026-06-12,Canada,Bosnia and Herzegovina,True,World Cup 2026,world_cup,Matchday 2,Group B,,,,,,,,,,,,SCHEDULED,
worldcup_2026_58d003388db93eaf,worldcup_json,2026-06-12,United States,Paraguay,True,World Cup 2026,world_cup,Matchday 2,Group D,,,,,,,,,,,,SCHEDULED,
worldcup_2026_df7d2bb610a40d52,worldcup_json,2026-06-13,Qatar,Switzerland,True,World Cup 2026,world_cup,Matchday 3,Group B,,,,,,,,,,,,SCHEDULED,
worldcup_2026_7a0f196d373d02fd,worldcup_json,2026-06-13,Brazil,Morocco,True,World Cup 2026,world_cup,Matchday 3,Group C,,,,,,,,,,,,SCHEDULED,
worldcup_2026_424cb609da482b78,worldcup_json,2026-06-13,Haiti,Scotland,True,World Cup 2026,world_cup,Matchday 3,Group C,,,,,,,,,,,,SCHEDULED,
worldcup_2026_42d4f482d24b4f68,worldcup_json,2026-06-13,Australia,Turkey,True,World Cup 2026,world_cup,Matchday 3,Group D,,,,,,,,,,,,SCHEDULED,
worldcup_2026_7d75aa6fa8ae0065,worldcup_json,2026-06-14,Germany,Curaçao,True,World Cup 2026,world_cup,Matchday 4,Group E,,,,,,,,,,,,SCHEDULED,
worldcup_2026_049ab5ed07a0bbce,worldcup_json,2026-06-14,Ivory Coast,Ecuador,True,World Cup 2026,world_cup,Matchday 4,Group E,,,,,,,,,,,,SCHEDULED,
worldcup_2026_52bbf124b6466f69,worldcup_json,2026-06-14,Netherlands,Japan,True,World Cup 2026,world_cup,Matchday 4,Group F,,,,,,,,,,,,SCHEDULED,
worldcup_2026_db25b1dc7555ad51,worldcup_json,2026-06-14,Sweden,Tunisia,True,World Cup 2026,world_cup,Matchday 4,Group F,,,,,,,,,,,,SCHEDULED,
