feature_name,feature_group,total_rows,null_count,null_rate,non_null_count,unique_values,min,max,mean
match_id,metadata,15973,0,0.0,15973,15973,,,
source,metadata,15973,0,0.0,15973,3,,,
date,metadata,15973,0,0.0,15973,2628,1262390400000000.0,1784419200000000.0,1527324634182683.0
home_team,metadata,15973,0,0.0,15973,338,,,
away_team,metadata,15973,0,0.0,15973,333,,,
neutral,metadata,15973,0,0.0,15973,2,0.0,1.0,0.3085206285606962
tournament,metadata,15973,0,0.0,15973,108,,,
competition_type,metadata,15973,0,0.0,15973,7,,,
stage,metadata,15973,15833,0.9912352094158893,140,24,,,
group,metadata,15973,15865,0.9932385901208289,108,24,,,
country,metadata,15973,140,0.008764790584110687,15833,225,,,
city,metadata,15973,140,0.008764790584110687,15833,1371,,,
venue,metadata,15973,15973,1.0,0,0,,,
home_score,metadata,15973,103,0.006448381644024291,15870,20,0.0,22.0,1.6111531190926276
away_score,metadata,15973,103,0.006448381644024291,15870,20,0.0,20.0,1.117391304347826
result,metadata,15973,103,0.006448381644024291,15870,3,,,
home_win,metadata,15973,103,0.006448381644024291,15870,2,0.0,1.0,0.47851291745431634
draw,metadata,15973,103,0.006448381644024291,15870,2,0.0,1.0,0.23213610586011343
away_win,metadata,15973,103,0.006448381644024291,15870,2,0.0,1.0,0.28935097668557025
goal_diff,metadata,15973,103,0.006448381644024291,15870,39,-20.0,22.0,0.4937618147448015
total_goals,metadata,15973,103,0.006448381644024291,15870,23,0.0,22.0,2.7285444234404537
home_matches_last_5,rolling_form,15973,0,0.0,15973,6,0.0,5.0,4.96957365554373
away_matches_last_5,rolling_form,15973,0,0.0,15973,6,0.0,5.0,4.966130344957115
home_matches_last_10,rolling_form,15973,0,0.0,15973,11,0.0,10.0,9.911475615100482
away_matches_last_10,rolling_form,15973,0,0.0,15973,11,0.0,10.0,9.903336880986664
home_win_rate_last_5,rolling_form,15973,57,0.0035685218806736367,15916,11,0.0,1.0,0.3915755633743822
away_win_rate_last_5,rolling_form,15973,59,0.003693733174732361,15914,11,0.0,1.0,0.3763908089313393
home_win_rate_last_10,rolling_form,15973,57,0.0035685218806736367,15916,28,0.0,1.0,0.3919250669187839
away_win_rate_last_10,rolling_form,15973,59,0.003693733174732361,15914,25,0.0,1.0,0.3760787147584935
home_goals_for_avg_last_5,rolling_form,15973,57,0.0035685218806736367,15916,58,0.0,12.0,1.3858412917818548
away_goals_for_avg_last_5,rolling_form,15973,59,0.003693733174732361,15914,53,0.0,21.0,1.3424982195970008
home_goals_against_avg_last_5,rolling_form,15973,57,0.0035685218806736367,15916,67,0.0,15.4,1.3422614559772137
away_goals_against_avg_last_5,rolling_form,15973,59,0.003693733174732361,15914,73,0.0,16.5,1.3881540362783293
home_goal_diff_avg_last_5,rolling_form,15973,57,0.0035685218806736367,15916,102,-15.2,11.5,0.04357983580464103
away_goal_diff_avg_last_5,rolling_form,15973,59,0.003693733174732361,15914,110,-16.5,21.0,-0.04565581668132881
