team,champion_probability,final_probability,semifinal_probability,quarterfinal_probability,round_of_16_probability,round_of_32_probability
Argentina,0.17852,0.26232,0.36359,0.47472,0.76568,0.98852
Spain,0.15199,0.23089,0.32558,0.43556,0.71779,1.0
France,0.13167,0.22326,0.37387,0.55065,0.77875,0.98267
England,0.10035,0.19795,0.33546,0.50552,0.69953,0.97737
Brazil,0.06285,0.12778,0.23418,0.40288,0.59669,1.0
Germany,0.05703,0.13092,0.24589,0.43398,0.79323,1.0
Colombia,0.04169,0.09063,0.17396,0.41274,0.63555,0.96049
Netherlands,0.04026,0.08753,0.18712,0.34167,0.55419,1.0
Portugal,0.0373,0.08353,0.1591,0.32725,0.4907,0.75091
Mexico,0.02983,0.06651,0.17421,0.32538,0.64821,1.0
Japan,0.02272,0.05688,0.14098,0.28102,0.5073,1.0
Morocco,0.02041,0.05251,0.13185,0.26337,0.48544,0.99996
United States,0.01202,0.03363,0.11372,0.28112,0.61705,1.0
Croatia,0.01177,0.0323,0.07573,0.17129,0.29707,0.5595
Switzerland,0.01096,0.03595,0.09246,0.24018,0.57722,1.0
Belgium,0.01053,0.02811,0.06445,0.19331,0.39445,0.68708
Norway,0.00934,0.02741,0.08755,0.23263,0.52457,0.9884
Austria,0.00875,0.02484,0.06287,0.13812,0.40615,0.95627
Uruguay,0.00847,0.02313,0.05417,0.10647,0.27687,0.5333
Australia,0.00783,0.0222,0.05637,0.20576,0.4546,0.87319
Ecuador,0.00646,0.0149,0.04193,0.08255,0.15843,0.32666
Canada,0.006,0.02219,0.06601,0.19373,0.51192,1.0
South Korea,0.00569,0.01998,0.0547,0.14698,0.39829,0.8629
Senegal,0.00447,0.01404,0.04371,0.10695,0.24169,0.45035
Iran,0.00417,0.01454,0.04444,0.12359,0.31453,0.631
Egypt,0.00295,0.0124,0.04596,0.14132,0.43225,1.0
Algeria,0.0023,0.00771,0.02347,0.05839,0.14568,0.40147
Paraguay,0.00227,0.00782,0.02293,0.09743,0.26056,0.65381
Ivory Coast,0.00218,0.00823,0.03736,0.11198,0.27993,0.83013
Sweden,0.00218,0.00807,0.03449,0.10767,0.30038,0.93147
Panama,0.00126,0.00534,0.01764,0.05824,0.13897,0.36964
Scotland,0.00126,0.00627,0.02442,0.07317,0.22952,0.81057
Turkey,0.00099,0.00262,0.00686,0.02243,0.0487,0.11724
Uzbekistan,0.00093,0.00448,0.01639,0.05825,0.14867,0.38006
DR Congo,0.00066,0.00302,0.01507,0.06793,0.2052,0.58153
Jordan,0.00056,0.00236,0.00875,0.03086,0.10168,0.36497
Czechia,0.00034,0.0017,0.00609,0.02101,0.08008,0.28284
Ghana,0.0002,0.0018,0.01203,0.04873,0.1932,0.83534
Iraq,0.0002,0.00096,0.00548,0.02519,0.08472,0.26305
New Zealand,0.00017,0.00088,0.00431,0.02556,0.09626,0.31092
Saudi Arabia,0.00014,0.00065,0.00361,0.01582,0.06933,0.35114
Cape Verde,0.00012,0.00067,0.00365,0.01653,0.11136,0.64575
Bosnia and Herzegovina,8e-05,0.0005,0.0032,0.01673,0.07976,0.45646
South Africa,7e-05,0.00044,0.00219,0.01147,0.06323,0.27004
Qatar,5e-05,8e-05,0.00107,0.00678,0.04102,0.29909
Haiti,1e-05,1e-05,0.00011,0.00047,0.00277,0.02026
Curaçao,0.0,6e-05,0.00102,0.00662,0.04083,0.29565
Tunisia,0.0,0.0,0.0,0.0,0.0,0.0
