team,round_of_32_probability,round_of_16_probability,quarterfinal_probability,semifinal_probability,final_probability,champion_probability
Argentina,0.98852,0.76568,0.47472,0.36359,0.26232,0.17852
Spain,1.0,0.71779,0.43556,0.32558,0.23089,0.15199
France,0.98267,0.77875,0.55065,0.37387,0.22326,0.13167
England,0.97737,0.69953,0.50552,0.33546,0.19795,0.10035
Brazil,1.0,0.59669,0.40288,0.23418,0.12778,0.06285
Germany,1.0,0.79323,0.43398,0.24589,0.13092,0.05703
Colombia,0.96049,0.63555,0.41274,0.17396,0.09063,0.04169
Netherlands,1.0,0.55419,0.34167,0.18712,0.08753,0.04026
Portugal,0.75091,0.4907,0.32725,0.1591,0.08353,0.0373
Mexico,1.0,0.64821,0.32538,0.17421,0.06651,0.02983
Japan,1.0,0.5073,0.28102,0.14098,0.05688,0.02272
Morocco,0.99996,0.48544,0.26337,0.13185,0.05251,0.02041
United States,1.0,0.61705,0.28112,0.11372,0.03363,0.01202
Croatia,0.5595,0.29707,0.17129,0.07573,0.0323,0.01177
Switzerland,1.0,0.57722,0.24018,0.09246,0.03595,0.01096
Belgium,0.68708,0.39445,0.19331,0.06445,0.02811,0.01053
Norway,0.9884,0.52457,0.23263,0.08755,0.02741,0.00934
Austria,0.95627,0.40615,0.13812,0.06287,0.02484,0.00875
Uruguay,0.5333,0.27687,0.10647,0.05417,0.02313,0.00847
Australia,0.87319,0.4546,0.20576,0.05637,0.0222,0.00783
Ecuador,0.32666,0.15843,0.08255,0.04193,0.0149,0.00646
Canada,1.0,0.51192,0.19373,0.06601,0.02219,0.006
South Korea,0.8629,0.39829,0.14698,0.0547,0.01998,0.00569
Senegal,0.45035,0.24169,0.10695,0.04371,0.01404,0.00447
Iran,0.631,0.31453,0.12359,0.04444,0.01454,0.00417
Egypt,1.0,0.43225,0.14132,0.04596,0.0124,0.00295
Algeria,0.40147,0.14568,0.05839,0.02347,0.00771,0.0023
Paraguay,0.65381,0.26056,0.09743,0.02293,0.00782,0.00227
Ivory Coast,0.83013,0.27993,0.11198,0.03736,0.00823,0.00218
Sweden,0.93147,0.30038,0.10767,0.03449,0.00807,0.00218
Panama,0.36964,0.13897,0.05824,0.01764,0.00534,0.00126
Scotland,0.81057,0.22952,0.07317,0.02442,0.00627,0.00126
Turkey,0.11724,0.0487,0.02243,0.00686,0.00262,0.00099
Uzbekistan,0.38006,0.14867,0.05825,0.01639,0.00448,0.00093
DR Congo,0.58153,0.2052,0.06793,0.01507,0.00302,0.00066
Jordan,0.36497,0.10168,0.03086,0.00875,0.00236,0.00056
Czechia,0.28284,0.08008,0.02101,0.00609,0.0017,0.00034
Ghana,0.83534,0.1932,0.04873,0.01203,0.0018,0.0002
Iraq,0.26305,0.08472,0.02519,0.00548,0.00096,0.0002
New Zealand,0.31092,0.09626,0.02556,0.00431,0.00088,0.00017
Saudi Arabia,0.35114,0.06933,0.01582,0.00361,0.00065,0.00014
Cape Verde,0.64575,0.11136,0.01653,0.00365,0.00067,0.00012
Bosnia and Herzegovina,0.45646,0.07976,0.01673,0.0032,0.0005,8e-05
South Africa,0.27004,0.06323,0.01147,0.00219,0.00044,7e-05
Qatar,0.29909,0.04102,0.00678,0.00107,8e-05,5e-05
Haiti,0.02026,0.00277,0.00047,0.00011,1e-05,1e-05
Curaçao,0.29565,0.04083,0.00662,0.00102,6e-05,0.0
Tunisia,0.0,0.0,0.0,0.0,0.0,0.0
