date,home_team,away_team,home_odds,draw_odds,away_odds,bookmaker,source,updated_at,api_provider,api_fixture_id,raw_home_team,raw_away_team,raw_payload_file
2026-06-24,Colombia,DR Congo,1.5322807017543865,3.9375438596491223,6.917719298245614,the_odds_api_average,the_odds_api:/sports/{sport}/odds,2026-06-24T01:22:32+00:00,the_odds_api,68bfc965eb267508e04d8e8d75c1a0ae,Colombia,DR Congo,C:\Users\kenic\OneDrive\Desktop\wc_predictor\data\raw\the_odds_api\worldcup_2026_odds_soccer_fifa_world_cup_20260624T012232Z.json
2026-06-24,Bosnia and Herzegovina,Qatar,1.4113559322033897,4.972542372881355,6.98813559322034,the_odds_api_average,the_odds_api:/sports/{sport}/odds,2026-06-24T01:22:32+00:00,the_odds_api,512ac18beb5aa936a59f7ea3e497ada2,Bosnia & Herzegovina,Qatar,C:\Users\kenic\OneDrive\Desktop\wc_predictor\data\raw\the_odds_api\worldcup_2026_odds_soccer_fifa_world_cup_20260624T012232Z.json
2026-06-24,Switzerland,Canada,2.3354237288135575,3.0896610169491527,3.338983050847458,the_odds_api_average,the_odds_api:/sports/{sport}/odds,2026-06-24T01:22:32+00:00,the_odds_api,c9ef5822ee64fd5275f7c73251bb56c7,Switzerland,Canada,C:\Users\kenic\OneDrive\Desktop\wc_predictor\data\raw\the_odds_api\worldcup_2026_odds_soccer_fifa_world_cup_20260624T012232Z.json
2026-06-24,Scotland,Brazil,8.292203389830508,5.1179661016949165,1.3596610169491523,the_odds_api_average,the_odds_api:/sports/{sport}/odds,2026-06-24T01:22:32+00:00,the_odds_api,885ba95805db310a7bcc3fb1a7a6dd28,Scotland,Brazil,C:\Users\kenic\OneDrive\Desktop\wc_predictor\data\raw\the_odds_api\worldcup_2026_odds_soccer_fifa_world_cup_20260624T012232Z.json
2026-06-24,Morocco,Haiti,1.179830508474576,7.241864406779661,16.086610169491525,the_odds_api_average,the_odds_api:/sports/{sport}/odds,2026-06-24T01:22:32+00:00,the_odds_api,d1279ce7f33136a33e99ad442fc855e8,Morocco,Haiti,C:\Users\kenic\OneDrive\Desktop\wc_predictor\data\raw\the_odds_api\worldcup_2026_odds_soccer_fifa_world_cup_20260624T012232Z.json
2026-06-25,Czechia,Mexico,3.6664406779661003,3.8062711864406777,1.9313559322033893,the_odds_api_average,the_odds_api:/sports/{sport}/odds,2026-06-24T01:22:32+00:00,the_odds_api,5993bd5196ca09f83990f0c3261e442e,Czech Republic,Mexico,C:\Users\kenic\OneDrive\Desktop\wc_predictor\data\raw\the_odds_api\worldcup_2026_odds_soccer_fifa_world_cup_20260624T012232Z.json
2026-06-25,South Africa,South Korea,5.347457627118643,3.789830508474578,1.663050847457627,the_odds_api_average,the_odds_api:/sports/{sport}/odds,2026-06-24T01:22:32+00:00,the_odds_api,c0355dfc6e26ec327e379b6ef5824a5f,South Africa,South Korea,C:\Users\kenic\OneDrive\Desktop\wc_predictor\data\raw\the_odds_api\worldcup_2026_odds_soccer_fifa_world_cup_20260624T012232Z.json
2026-06-25,Curacao,Ivory Coast,18.37440677966102,8.126440677966102,1.1479661016949145,the_odds_api_average,the_odds_api:/sports/{sport}/odds,2026-06-24T01:22:32+00:00,the_odds_api,a5a0b544a984ab16e564264f3e859b43,Curaçao,Ivory Coast,C:\Users\kenic\OneDrive\Desktop\wc_predictor\data\raw\the_odds_api\worldcup_2026_odds_soccer_fifa_world_cup_20260624T012232Z.json
2026-06-25,Ecuador,Germany,3.77406779661017,3.9484745762711873,1.8686440677966094,the_odds_api_average,the_odds_api:/sports/{sport}/odds,2026-06-24T01:22:32+00:00,the_odds_api,0ec28b84ec399bd4dffbe8d1bc72b3c4,Ecuador,Germany,C:\Users\kenic\OneDrive\Desktop\wc_predictor\data\raw\the_odds_api\worldcup_2026_odds_soccer_fifa_world_cup_20260624T012232Z.json
2026-06-25,Japan,Sweden,1.89551724137931,3.446896551724138,4.256034482758621,the_odds_api_average,the_odds_api:/sports/{sport}/odds,2026-06-24T01:22:32+00:00,the_odds_api,0ed0233bddc4eafc8507f86a9c17b998,Japan,Sweden,C:\Users\kenic\OneDrive\Desktop\wc_predictor\data\raw\the_odds_api\worldcup_2026_odds_soccer_fifa_world_cup_20260624T012232Z.json
2026-06-25,Tunisia,Netherlands,21.79035087719298,8.671052631578949,1.1266666666666665,the_odds_api_average,the_odds_api:/sports/{sport}/odds,2026-06-24T01:22:32+00:00,the_odds_api,f3c4657daa143a0c5bd62cb370d01ce4,Tunisia,Netherlands,C:\Users\kenic\OneDrive\Desktop\wc_predictor\data\raw\the_odds_api\worldcup_2026_odds_soccer_fifa_world_cup_20260624T012232Z.json
2026-06-26,Paraguay,Australia,2.925689655172413,2.1960344827586216,3.92448275862069,the_odds_api_average,the_odds_api:/sports/{sport}/odds,2026-06-24T01:22:32+00:00,the_odds_api,22f6ac06dfcc88a847920f62633e6459,Paraguay,Australia,C:\Users\kenic\OneDrive\Desktop\wc_predictor\data\raw\the_odds_api\worldcup_2026_odds_soccer_fifa_world_cup_20260624T012232Z.json
2026-06-26,Turkey,United States,3.6252631578947354,4.007543859649123,1.8924561403508782,the_odds_api_average,the_odds_api:/sports/{sport}/odds,2026-06-24T01:22:32+00:00,the_odds_api,f41aeac9a8343a84b4950f15ea25fba2,Turkey,USA,C:\Users\kenic\OneDrive\Desktop\wc_predictor\data\raw\the_odds_api\worldcup_2026_odds_soccer_fifa_world_cup_20260624T012232Z.json
2026-06-26,Norway,France,5.032586206896554,4.291724137931034,1.6141379310344828,the_odds_api_average,the_odds_api:/sports/{sport}/odds,2026-06-24T01:22:32+00:00,the_odds_api,b86b4d60f773e9e3c46c00e9a6496e79,Norway,France,C:\Users\kenic\OneDrive\Desktop\wc_predictor\data\raw\the_odds_api\worldcup_2026_odds_soccer_fifa_world_cup_20260624T012232Z.json
2026-06-26,Senegal,Iraq,1.225344827586207,6.482586206896551,12.596724137931036,the_odds_api_average,the_odds_api:/sports/{sport}/odds,2026-06-24T01:22:32+00:00,the_odds_api,7e6aee294ea1a4792c59558791084528,Senegal,Iraq,C:\Users\kenic\OneDrive\Desktop\wc_predictor\data\raw\the_odds_api\worldcup_2026_odds_soccer_fifa_world_cup_20260624T012232Z.json
2026-06-27,Cape Verde,Saudi Arabia,2.393275862068965,3.4246551724137944,2.9277586206896573,the_odds_api_average,the_odds_api:/sports/{sport}/odds,2026-06-24T01:22:32+00:00,the_odds_api,e07b1926be5a4d515c7eb108dbcee9c5,Cape Verde,Saudi Arabia,C:\Users\kenic\OneDrive\Desktop\wc_predictor\data\raw\the_odds_api\worldcup_2026_odds_soccer_fifa_world_cup_20260624T012232Z.json
2026-06-27,Uruguay,Spain,7.051724137931034,4.185172413793104,1.4913793103448274,the_odds_api_average,the_odds_api:/sports/{sport}/odds,2026-06-24T01:22:32+00:00,the_odds_api,dcff2e31c0bce001a4db5caaf4fa8822,Uruguay,Spain,C:\Users\kenic\OneDrive\Desktop\wc_predictor\data\raw\the_odds_api\worldcup_2026_odds_soccer_fifa_world_cup_20260624T012232Z.json
2026-06-27,New Zealand,Belgium,14.75396551724138,7.094310344827588,1.1908620689655174,the_odds_api_average,the_odds_api:/sports/{sport}/odds,2026-06-24T01:22:32+00:00,the_odds_api,581691da05dcd75b5c6d3be91ee9d2ab,New Zealand,Belgium,C:\Users\kenic\OneDrive\Desktop\wc_predictor\data\raw\the_odds_api\worldcup_2026_odds_soccer_fifa_world_cup_20260624T012232Z.json
2026-06-27,Egypt,Iran,2.4265517241379326,2.670172413793104,3.776034482758621,the_odds_api_average,the_odds_api:/sports/{sport}/odds,2026-06-24T01:22:32+00:00,the_odds_api,3e3b5fa2b3c963e74cf044c60db0b573,Egypt,Iran,C:\Users\kenic\OneDrive\Desktop\wc_predictor\data\raw\the_odds_api\worldcup_2026_odds_soccer_fifa_world_cup_20260624T012232Z.json
